id,label,institution_2,department,institution,projects,groups,url,institution_group,n_affiliations,single_affiliation,n_projects,n_groups,n_publications,n_articles,n_chapters,n_books,n_other,groups_names
0000-0001-5594-9916,"Rodríguez Ortega, Ana","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]","[""Departament d'Infermeria Fonamental i Medicoquirúrgica""]",['UB'],[],['/cris/ou/ou238922'],https://portalrecerca.csuc.cat/orcid/0000-0001-5594-9916,['UB'],6,Multiple affiliations,2,21,6,6,0,0,0,['Psycho-oncology and Digital Health (PSODIG)']
0000-0001-5638-0688,"Suarez-Lledo Grande, Ana",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240275'],https://portalrecerca.csuc.cat/orcid/0000-0001-5638-0688,[],2,Multiple affiliations,2,21,7,7,0,0,0,"['Pharmacotherapy, Pharmacogenetics and Pharmaceutical Technology']"
0000-0001-5659-9348,"Arozamena Villarrubia, Borja",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240769'],https://portalrecerca.csuc.cat/orcid/0000-0001-5659-9348,[],2,Multiple affiliations,2,21,0,0,0,0,0,['Cell Plasticity and Regeneration']
0000-0001-5691-0343,"González Mera, Laura",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou238794'],https://portalrecerca.csuc.cat/orcid/0000-0001-5691-0343,[],2,Multiple affiliations,2,21,12,12,0,0,0,['Neurologic Diseases and Neurogenetics']
0000-0001-5727-2099,"Vidal Bel, August","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Patologia i Terapèutica Experimental'],['UB'],[],['/cris/ou/ou239798'],https://portalrecerca.csuc.cat/orcid/0000-0001-5727-2099,['UB'],6,Multiple affiliations,2,21,108,108,0,0,0,['Gynecologic Cancer Group']
0000-0001-5776-8422,"Murillo Rubio, Oscar","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Ciències Clíniques'],['UB'],[],"['/cris/ou/ou239256', '/sgr/2021SGR0021']",https://portalrecerca.csuc.cat/orcid/0000-0001-5776-8422,['UB'],6,Multiple affiliations,2,41,74,74,0,0,0,"['Difficult to Treat Infections and Antimicrobians Use', '']"
0000-0001-5793-9906,"Serra Blasco, Maria","[""Fundació Institut d'Investigació i Innovació Parc Taulí"", ""Institut d'Investigació Biomèdica de Bellvitge""]",[],[],[],['/cris/ou/ou238922'],https://portalrecerca.csuc.cat/orcid/0000-0001-5793-9906,[],2,Multiple affiliations,2,21,6,6,0,0,0,['Psycho-oncology and Digital Health (PSODIG)']
0000-0001-5797-6782,"Llobet Berenguer, Artur","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]","['Departament de Patologia i Terapèutica Experimental', 'Institut de Neurociències de la UB (UBNeuro)']",['UB'],"['/cris/project/pj4970335', '/cris/project/pj5002952', '/cris/project/pj4979642']","['/cris/ou/ou240374', '/sgr/2021SGR1075']",https://portalrecerca.csuc.cat/orcid/0000-0001-5797-6782,['UB'],6,Multiple affiliations,81,41,24,24,0,0,0,"['Cellular and Molecular Neurobiology', '']"
0000-0001-5803-3567,"Giorgetti, Alessandra","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Patologia i Terapèutica Experimental'],['UB'],[],['/cris/ou/ou238951'],https://portalrecerca.csuc.cat/orcid/0000-0001-5803-3567,['UB'],6,Multiple affiliations,2,21,5,5,0,0,0,['Hematopoietic Stem Cell Biology & Leukemogenesis']
0000-0001-5814-921X,"Padrones Sánchez, Susana",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou241016'],https://portalrecerca.csuc.cat/orcid/0000-0001-5814-921X,[],2,Multiple affiliations,2,21,14,14,0,0,0,['Pneumology']
0000-0001-5835-3595,"Soto Cerrato, Vanessa","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Patologia i Terapèutica Experimental'],['UB'],"['/cris/project/pj5013191', '/cris/project/pj4980161', '/cris/project/pj5003110', '/cris/project/pj4984035', '/cris/project/pj4993018']",['/cris/ou/ou239057'],https://portalrecerca.csuc.cat/orcid/0000-0001-5835-3595,['UB'],6,Multiple affiliations,135,21,24,24,0,0,0,['Molecular signaling in Cancer']
0000-0001-5871-5330,"Gamundí Grimalt, Enric",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239651'],https://portalrecerca.csuc.cat/orcid/0000-0001-5871-5330,[],2,Multiple affiliations,2,21,3,3,0,0,0,"['Systemic, Vascular Diseases and Ageing']"
0000-0001-5874-8204,"Sánchez Díaz, Isabel Maria",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240795'],https://portalrecerca.csuc.cat/orcid/0000-0001-5874-8204,[],2,Multiple affiliations,2,21,96,96,0,0,0,['Psychoneurobiology of Eating and Addictive Behaviours']
0000-0001-5960-2442,"Guarga Sole, Laura",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239873'],https://portalrecerca.csuc.cat/orcid/0000-0001-5960-2442,[],2,Multiple affiliations,2,21,0,0,0,0,0,['Health Services Research in Cancer']
0000-0001-5998-6300,"Juanola Roura, Francisco Javier",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240577'],https://portalrecerca.csuc.cat/orcid/0000-0001-5998-6300,[],2,Multiple affiliations,2,21,65,65,0,0,0,['Synovial inflammation and bone metabolism']
0000-0001-6028-7785,"Benitez Garcia, Cristina",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239057'],https://portalrecerca.csuc.cat/orcid/0000-0001-6028-7785,[],2,Multiple affiliations,2,21,3,3,0,0,0,['Molecular signaling in Cancer']
0000-0001-6029-4969,"Choulli Amgait, Maryam",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239477'],https://portalrecerca.csuc.cat/orcid/0000-0001-6029-4969,[],2,Multiple affiliations,2,21,0,0,0,0,0,['Infections and Cancer']
0000-0001-6041-1985,"Gil Moncayo, Francisco Luis",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou238922'],https://portalrecerca.csuc.cat/orcid/0000-0001-6041-1985,[],2,Multiple affiliations,2,21,18,18,0,0,0,['Psycho-oncology and Digital Health (PSODIG)']
0000-0001-6043-698X,"Dalmau Pastor, Antoni Miquel","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Patologia i Terapèutica Experimental'],['UB'],[],"['/sgr/2021SGR0244', '/cris/ou/ou240637']",https://portalrecerca.csuc.cat/orcid/0000-0001-6043-698X,['UB'],6,Multiple affiliations,2,41,6,6,0,0,0,"['', 'Cell signalling and bone biology']"
0000-0001-6045-7879,"Rofes Terrón, Paula",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239913'],https://portalrecerca.csuc.cat/orcid/0000-0001-6045-7879,[],2,Multiple affiliations,2,21,10,10,0,0,0,['Hereditary cancer']
0000-0001-6049-3845,"Garay Melero, Alberto",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239637'],https://portalrecerca.csuc.cat/orcid/0000-0001-6049-3845,[],2,Multiple affiliations,2,21,46,46,0,0,0,['Cardiovascular Diseases Research Group (BIO-HEART)']
0000-0001-6071-7343,"Ibañez Sanz, Gemma","[""Institut d'Investigació Biomèdica de Bellvitge"", 'Repositori de Dades de Recerca']",[],[],[],['/cris/ou/ou241017'],https://portalrecerca.csuc.cat/orcid/0000-0001-6071-7343,[],2,Multiple affiliations,2,21,26,26,0,0,0,['Colorectal Cancer']
0000-0001-6099-6290,"Serrano Afonso, Andrés Ancor",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239217'],https://portalrecerca.csuc.cat/orcid/0000-0001-6099-6290,[],2,Multiple affiliations,2,21,11,11,0,0,0,['Perisurgical physiopathology and pain']
0000-0001-6107-2006,"Pane Foix, Maria",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240477'],https://portalrecerca.csuc.cat/orcid/0000-0001-6107-2006,[],2,Multiple affiliations,2,21,13,13,0,0,0,['Resistance and Progression Mechanisms in Prostate Cancer']
0000-0001-6114-7231,"Laporte Amargós, Júlia",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240102'],https://portalrecerca.csuc.cat/orcid/0000-0001-6114-7231,[],2,Multiple affiliations,2,21,17,17,0,0,0,['Infections of the Respiratory Tract and in Immunocompromised Patients']
0000-0001-6151-138X,"Sueiras Gil, Albert",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou241017'],https://portalrecerca.csuc.cat/orcid/0000-0001-6151-138X,[],2,Multiple affiliations,2,21,5,5,0,0,0,['Colorectal Cancer']
0000-0001-6157-0849,"Jose Bazan, Nuria",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239637'],https://portalrecerca.csuc.cat/orcid/0000-0001-6157-0849,[],2,Multiple affiliations,2,21,8,8,0,0,0,['Cardiovascular Diseases Research Group (BIO-HEART)']
0000-0001-6178-146X,"Diaz Requena, Clara",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239583'],https://portalrecerca.csuc.cat/orcid/0000-0001-6178-146X,[],2,Multiple affiliations,2,21,1,1,0,0,0,['Nephrology and renal transplantation']
0000-0001-6182-4538,"Calatayud Samper, Laura",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239618'],https://portalrecerca.csuc.cat/orcid/0000-0001-6182-4538,[],2,Multiple affiliations,2,21,54,54,0,0,0,['Epidemiology of bacterial infections. Investigation of the pathogenesis and molecular basis of antimicrobial resistance']
0000-0001-6194-8266,"Gómez Peña, Mónica",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240795'],https://portalrecerca.csuc.cat/orcid/0000-0001-6194-8266,[],2,Multiple affiliations,2,21,108,107,1,0,0,['Psychoneurobiology of Eating and Addictive Behaviours']
0000-0001-6195-0702,"Lopez Borao, Jaime",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240870'],https://portalrecerca.csuc.cat/orcid/0000-0001-6195-0702,[],2,Multiple affiliations,2,21,7,7,0,0,0,['Digestive tract pathology']
0000-0001-6224-1764,"Lujan Barroso, Leila","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]","[""Departament d'Infermeria de Salut Pública, Salut Mental i Maternoinfantil""]",['UB'],[],['/cris/ou/ou239879'],https://portalrecerca.csuc.cat/orcid/0000-0001-6224-1764,['UB'],6,Multiple affiliations,2,21,74,74,0,0,0,['Unit of Nutrition and Cancer']
0000-0001-6242-7761,"Ortega Cano, Juan Alberto","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge"", 'Institut de Bioenginyeria de Catalunya']","['Departament de Patologia i Terapèutica Experimental', 'Institut de Neurociències de la UB (UBNeuro)']",['UB'],"['/cris/project/pj4989897', '/cris/project/pj5011988', '/cris/project/pj4988402', '/cris/project/pj5002952', '/cris/project/pj4998309']","['/cris/ou/ou239068', '/sgr/2021SGR0344', '/cris/ou/ou239867']",https://portalrecerca.csuc.cat/orcid/0000-0001-6242-7761,['UB'],6,Multiple affiliations,135,62,4,4,0,0,0,"['', '', 'Neurodevelopmental Disorders']"
0000-0001-6252-6671,"Martinez Iniesta, Maria",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou238855'],https://portalrecerca.csuc.cat/orcid/0000-0001-6252-6671,[],2,Multiple affiliations,2,21,27,27,0,0,0,['Tumor and stromal chemoresistance']
0000-0001-6253-9755,"Martínez Muñoz, Marisa",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou241017'],https://portalrecerca.csuc.cat/orcid/0000-0001-6253-9755,[],2,Multiple affiliations,2,21,13,13,0,0,0,['Colorectal Cancer']
0000-0001-6259-1705,"Company Serrat, Assumpta",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239477'],https://portalrecerca.csuc.cat/orcid/0000-0001-6259-1705,[],2,Multiple affiliations,2,21,6,6,0,0,0,['Infections and Cancer']
0000-0001-6308-3198,"Granero Perez, Rosario","['Universitat Autònoma de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Psicobiologia i Metodologia de les Ciències de la Salut'],['UAB'],"['/cris/project/pj4980861', '/cris/project/pj5007104', '/cris/project/pj4982127', '/cris/project/pj4972685', '/cris/project/pj4972682', '/cris/project/pj5018052', '/cris/project/pj5000451', '/cris/project/pj5016668']",['/cris/ou/ou240795'],https://portalrecerca.csuc.cat/orcid/0000-0001-6308-3198,['UAB'],7,Multiple affiliations,216,21,256,255,1,0,0,['Psychoneurobiology of Eating and Addictive Behaviours']
0000-0001-6330-4018,"Penin Mosquera, Rosa Mª",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240552'],https://portalrecerca.csuc.cat/orcid/0000-0001-6330-4018,[],2,Multiple affiliations,2,21,45,45,0,0,0,['Ageing and Cancer']
0000-0001-6368-249X,"Buisán Rueda, Oscar",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou238818'],https://portalrecerca.csuc.cat/orcid/0000-0001-6368-249X,[],2,Multiple affiliations,2,21,0,0,0,0,0,['Cancer Immunotherapy']
0000-0001-6393-1644,"Méndez Zunzunegui, Ana",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239907'],https://portalrecerca.csuc.cat/orcid/0000-0001-6393-1644,[],2,Multiple affiliations,2,21,6,6,0,0,0,['Cellular and molecular basis of sensory disorders']
0000-0001-6412-6831,"Soria Tomas, Virginia",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239385'],https://portalrecerca.csuc.cat/orcid/0000-0001-6412-6831,[],2,Multiple affiliations,2,21,44,44,0,0,0,['Psychiatry and Mental Health']
0000-0001-6416-9612,"Florencia Melgarejo, Yolanda",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239477'],https://portalrecerca.csuc.cat/orcid/0000-0001-6416-9612,[],2,Multiple affiliations,2,21,0,0,0,0,0,['Infections and Cancer']
0000-0001-6425-0349,"Gomez Vaquero, Carmen","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Ciències Clíniques'],['UB'],[],['/cris/ou/ou240577'],https://portalrecerca.csuc.cat/orcid/0000-0001-6425-0349,['UB'],6,Multiple affiliations,2,21,81,81,0,0,0,['Synovial inflammation and bone metabolism']
0000-0001-6434-7677,"Berastegui Jimeno, Esther","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]","[""Departament d'Odontoestomatologia""]",['UB'],[],['/cris/ou/ou240771'],https://portalrecerca.csuc.cat/orcid/0000-0001-6434-7677,['UB'],6,Multiple affiliations,2,21,10,10,0,0,0,['Odontological and maxillofacial pathology and therapeutics']
0000-0001-6471-9979,"Piera Jimenez, Jordi",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],[],https://portalrecerca.csuc.cat/orcid/0000-0001-6471-9979,[],2,Multiple affiliations,2,2,10,10,0,0,0,[]
0000-0001-6477-2163,"Lorenzo Sanz, Laura","[""Vall d'Hebron Institut de Recerca"", ""Institut d'Investigació Biomèdica de Bellvitge""]",[],[],[],['/cris/ou/ou240552'],https://portalrecerca.csuc.cat/orcid/0000-0001-6477-2163,[],2,Multiple affiliations,2,21,3,3,0,0,0,['Ageing and Cancer']
0000-0001-6502-5012,"Soler Prat, Concepcio","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Patologia i Terapèutica Experimental'],['UB'],"['/cris/project/pj5011827', '/cris/project/pj4970493', '/cris/project/pj5004270', '/cris/project/pj5002107', '/cris/project/pj4974844', '/cris/project/pj4971413', '/cris/project/pj4979874', '/cris/project/pj4973467', '/cris/project/pj5009443', '/cris/project/pj5004030', '/cris/project/pj5018167', '/cris/project/pj4987073', '/cris/project/pj5002200', '/cris/project/pj4982766', '/cris/project/pj4993898', '/cris/project/pj5006804', '/cris/project/pj5012772', '/cris/project/pj5012916', '/cris/project/pj4975275']","['/sgr/2021SGR0275', '/cris/ou/ou240766']",https://portalrecerca.csuc.cat/orcid/0000-0001-6502-5012,['UB'],6,Multiple affiliations,513,41,17,17,0,0,0,"['', 'Immunity, inflammation and cancer']"
0000-0001-6507-7605,"Migo Aran, Julia",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239798'],https://portalrecerca.csuc.cat/orcid/0000-0001-6507-7605,[],2,Multiple affiliations,2,21,0,0,0,0,0,['Gynecologic Cancer Group']
0000-0001-6518-3117,"Sanchez Vera, Ismael",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239702'],https://portalrecerca.csuc.cat/orcid/0000-0001-6518-3117,[],2,Multiple affiliations,2,21,8,8,0,0,0,['Apoptosis and Cancer']
0000-0001-6536-1972,"Sahlholm, Kristoffer",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239291'],https://portalrecerca.csuc.cat/orcid/0000-0001-6536-1972,[],2,Multiple affiliations,2,21,5,5,0,0,0,['Neuropharmacology and pain']
0000-0001-6570-4680,"Guiteras Vila, Jordi",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],[],https://portalrecerca.csuc.cat/orcid/0000-0001-6570-4680,[],2,Multiple affiliations,2,2,6,6,0,0,0,[]
